date,day,日,曜,col,客数,売上,祝祭日,祝祭日前日,振替休日,
2022/1/9 0:00,9,9,日,曇一時晴,552,572500,0,1,0,
2022/1/10 0:00,10,10,月,晴,444,458125,1,0,0,
2022/1/11 0:00,11,11,火,雨時々曇一時晴、みぞれを伴う,240,228560,0,0,0,
2022/1/12 0:00,12,12,水,晴時々曇,263,234025,0,0,0,
2022/1/13 0:00,13,13,木,雨時々雪一時曇、みぞれを伴う,246,220525,0,0,0,
2022/1/14 0:00,14,14,金,晴,289,248720,0,0,0,
2022/1/15 0:00,15,15,土,曇後一時雨,412,444755,0,0,0,
2022/1/16 0:00,16,16,日,曇時々雨、みぞれを伴う,454,451055,0,0,0,
2022/1/17 0:00,17,17,月,曇時々晴,299,283480,0,0,0,
2022/1/18 0:00,18,18,火,晴一時曇、みぞれを伴う,324,260660,0,0,0,
2022/1/19 0:00,19,19,水,晴,308,273990,0,0,0,
2022/1/20 0:00,20,20,木,晴一時雪後曇、みぞれを伴う,267,239225,0,0,0,
2022/1/21 0:00,21,21,金,曇時々晴,284,267655,0,0,0,
2022/1/22 0:00,22,22,土,曇時々晴,432,434155,0,0,0,
2022/1/23 0:00,23,23,日,雨,384,384885,0,0,0,
2022/1/24 0:00,24,24,月,曇時々晴,266,249290,0,0,0,
2022/1/25 0:00,25,25,火,晴,277,237880,0,0,0,
2022/1/26 0:00,26,26,水,晴一時曇,309,280860,0,0,0,
2022/1/27 0:00,27,27,木,曇後時々晴,326,296805,0,0,0,
2022/1/28 0:00,28,28,金,晴後一時曇,291,278565,0,0,0,
2022/1/29 0:00,29,29,土,曇後一時晴,405,378740,0,0,0,
2022/1/30 0:00,30,30,日,曇後時々晴,492,542870,0,0,0,
2022/1/31 0:00,31,31,月,晴,298,294370,0,0,0,
2022/2/1 0:00,1,1,火,雨一時雪後曇、みぞれを伴う,261,243315,0,0,0,
2022/2/2 0:00,2,2,水,曇一時晴,291,255105,0,0,0,
2022/2/3 0:00,3,3,木,曇後時々晴,284,267120,0,0,0,
2022/2/4 0:00,4,4,金,晴一時曇,276,247200,0,0,0,
2022/2/5 0:00,5,5,土,曇後雪時々みぞれ一時雨,326,351740,0,0,0,
2022/2/6 0:00,6,6,日,晴時々曇一時雪,457,475405,0,0,0,
2022/2/7 0:00,7,7,月,曇一時晴,265,211250,0,0,0,
2022/2/8 0:00,8,8,火,雨後曇時々晴,267,236420,0,0,0,
2022/2/9 0:00,9,9,水,晴一時曇,332,307370,0,0,0,
2022/2/10 0:00,10,10,木,雨時々曇,303,266445,0,1,0,
2022/2/11 0:00,11,11,金,曇時々晴一時雨,509,522820,1,0,0,
2022/2/12 0:00,12,12,土,曇時々晴,565,551185,0,0,0,
2022/2/13 0:00,13,13,日,雨後曇,414,392985,0,0,0,
2022/2/14 0:00,14,14,月,曇後晴,319,319620,0,0,0,
2022/2/15 0:00,15,15,火,晴時々曇,316,305300,0,0,0,
2022/2/16 0:00,16,16,水,雪時々曇一時みぞれ,265,251950,0,0,0,
2022/2/17 0:00,17,17,木,晴時々曇一時雪,321,279330,0,0,0,
2022/2/18 0:00,18,18,金,晴時々曇,352,327240,0,0,0,
2022/2/19 0:00,19,19,土,雨,354,374915,0,0,0,
2022/2/20 0:00,20,20,日,雪時々曇後晴,529,565555,0,0,0,
2022/2/21 0:00,21,21,月,晴時々曇,293,264510,0,0,0,
2022/2/22 0:00,22,22,火,晴後一時曇,344,339945,0,1,0,
2022/2/23 0:00,23,23,水,曇後一時晴,505,514025,1,0,0,
2022/2/24 0:00,24,24,木,晴一時曇,328,308685,0,0,0,
2022/2/25 0:00,25,25,金,晴,357,337060,0,0,0,
2022/2/26 0:00,26,26,土,晴時々曇,498,528275,0,0,0,
2022/2/27 0:00,27,27,日,晴,679,691140,0,0,0,
2022/2/28 0:00,28,28,月,晴後時々曇,355,351855,0,0,0,
2022/3/1 0:00,1,1,火,雨時々曇,250,242140,0,0,0,
2022/3/2 0:00,2,2,水,晴,367,343180,0,0,0,
2022/3/3 0:00,3,3,木,晴,380,355855,0,0,0,
2022/3/4 0:00,4,4,金,曇時々晴後雨,349,332510,0,0,0,
2022/3/5 0:00,5,5,土,晴,547,562065,0,0,0,
2022/3/6 0:00,6,6,日,晴,663,698870,0,0,0,
2022/3/7 0:00,7,7,月,曇一時晴,347,322755,0,0,0,
2022/3/8 0:00,8,8,火,晴,394,388895,0,0,0,
2022/3/9 0:00,9,9,水,晴,415,410265,0,0,0,
2022/3/10 0:00,10,10,木,晴,361,358110,0,0,0,
2022/3/11 0:00,11,11,金,晴時々曇,343,327800,0,0,0,
2022/3/12 0:00,12,12,土,晴,589,564775,0,0,0,
2022/3/13 0:00,13,13,日,曇後一時雨,669,640065,0,0,0,
2022/3/14 0:00,14,14,月,曇時々雨一時晴,356,348980,0,0,0,
2022/3/15 0:00,15,15,火,晴,375,364265,0,0,0,
2022/3/16 0:00,16,16,水,晴,380,376910,0,0,0,
2022/3/17 0:00,17,17,木,曇時々晴,425,425295,0,0,0,
2022/3/18 0:00,18,18,金,雨後曇一時晴,359,370155,0,0,0,
2022/3/19 0:00,19,19,土,雨時々曇,543,655265,0,0,0,
2022/3/20 0:00,20,20,日,曇一時晴,842,948790,0,1,0,
2022/3/21 0:00,21,21,月,曇時々雨,657,697200,1,0,0,
2022/3/22 0:00,22,22,火,雨時々晴後曇,342,335665,0,0,0,
2022/3/23 0:00,23,23,水,雨時々曇,321,326390,0,0,0,
2022/3/24 0:00,24,24,木,曇一時雨後晴、霧を伴う,318,273450,0,0,0,
2022/3/25 0:00,25,25,金,晴後時々曇,394,383130,0,0,0,
2022/3/26 0:00,26,26,土,大雨後曇,359,395805,0,0,0,
2022/3/27 0:00,27,27,日,曇後晴,709,724710,0,0,0,
2022/3/28 0:00,28,28,月,曇,405,396520,0,0,0,
2022/3/29 0:00,29,29,火,曇時々晴,435,418910,0,0,0,
2022/3/30 0:00,30,30,水,曇後一時雨,413,386175,0,0,0,
2022/3/31 0:00,31,31,木,雨後時々曇一時晴,360,352765,0,0,0,
2022/4/1 0:00,1,1,金,晴,412,392200,0,0,0,晴後時々曇
2022/4/2 0:00,2,2,土,晴,599,640090,0,0,0,晴時々曇
2022/4/3 0:00,3,3,日,晴,772,758635,0,0,0,晴
2022/4/4 0:00,4,4,月,晴,402,379285,0,0,0,晴
2022/4/5 0:00,5,5,火,晴,347,337560,0,0,0,晴時々曇
2022/4/6 0:00,6,6,水,晴,326,291540,0,0,0,晴一時曇
2022/4/7 0:00,7,7,木,晴,351,344890,0,0,0,晴一時曇
2022/4/8 0:00,8,8,金,晴,395,372625,0,0,0,晴
2022/4/9 0:00,9,9,土,晴,622,618860,0,0,0,晴
2022/4/10 0:00,10,10,日,晴,733,738660,0,0,0,晴時々曇
2022/4/11 0:00,11,11,月,晴,338,339775,0,0,0,曇時々雨一時晴
2022/4/12 0:00,12,12,火,曇,346,318520,0,0,0,曇一時雨後晴
2022/4/13 0:00,13,13,水,曇,372,360875,0,0,0,曇時々晴
